Type kjøretøy,Merke,Modell,Årsmodell,Feiltype,Symptomkategori,Symptom (valg),Kommentar,Løsning,Symptomdetalj (manuell),Feilkode,Generell feil,Mitt kjøretøy,Ytterligere symptomdetaljer,Link til kilde
ATV / UTV,Arctic Cat,650 H1,2009,Elektrisk,Elektrisk feil,"Elektrisk, lader ikke",Batteriet tømte seg fort. Målte kun 12V på batteriet med motor i gang.,"Ladespole var defekt. Var kurant å skifte, sitter bak svinghjul venstre side.",Ingen lading,,false,true,,https://youtu.be/PFs2eUoQqbc?si=WJRHT3TtMet2FR35
Traktor,Valtra,"A, C, M, N, T",2010,Elektrisk,Bevegelse/rotasjons-feil,"Gir, får ikke i gir",Traktor går ikke fremover eller bakover.,Clutch-sensor var defekt/hadde dårlig kontakt.,,d225,,false,false,https://www.facebook.com/share/p/19MKdAyzth/?mibextid=wwXIfr
Traktor,Ford,,,Mekanisk,Instrumentfeil,"Instrument, viser feil verdi",Turteller er ofte drevet av signal fra dynamo ,"Kontroller og etterstram dynamo-rem.
Kontroller ledningsforbindelse mellom turteller og dynamo.",Turteller viser ingen eller for lav verdi ,,true,,true,
Traktor,Valmet,805,1987,Motor,Lekkasje,"Lekkasje, svetting",Svettet en del olje. Trykk i bunnpanna. Røyk ut av peilepinnehull.,Tett veivhusventilasjon/oljeånding. La slange ut på siden/ut i friluft. Problem borte.,"Motor, røyk ut av peilepinnen, mye oljesvetting her og der",,,true,true,
Skurtresker,Claas,Avero 240,2010,Treskeverk,Bevegelse/rotasjons-feil,,Brytebolt til tankskrue røk av hyppig,"Justerte ned møne i bunn av tank en god del, så skruen fikk mindre korn.","Mekanisk, brytebolt til tankskrue ",,,true,true,
Traktor,Massey Ferguson,5613,2016,Elektrisk,Varsellampe / feilkode,"Varsellampe, lyser",Får gul blinkende varsellampe med bilde av traktor og PTO ved kjøring med kraftuttak,Irr og korrosjon i kontakt til hastighetsføler på PTO. Gjorde rent. Sensoren sitter til venstre for oljenivå-glasset.,Gul varsellampe PTO,,,,true,
Traktor,Claas,Arion 460,2017,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode",Får ikke kjørt kraftuttak,Dårlig kontakt til turtallssensor på kraftuttak. Gjorde ren kontakt.,,767Fh,,,,
Traktor,Claas,Ares 577,,Elektrisk,Motorfeil,"Motor, dårlig effekt",Virket som den fikk for lite diesel,Skiftet styreenhet bak venstre lasterbrakett,,,,,,
Traktor,Claas,Ares 697,,Elektrisk,Motorfeil,"Motor, dårlig effekt",Hadde ingen feilkode. La merke til at motortemperatur var høy.,Defekt temperatursensor til motor. Den trodde motoren kokte og begrenset effekten.,,,,,,
Traktor,Claas,Ares 697,,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode",Fikk feilkode,Var kortslutning i solenoid til kraftuttak,,342,,,,
Traktor,Valtra,T150,,Elektrisk,Hydraulikkfeil,"Hydraulikk, virker ikke",Fikk ikke senket løftearmene,Dårlig kontakt på solenoid til senk. Den satt sammen med solenoidene til tipputtakene.,,12,,,,
Traktor,Valtra,6850,,Elektrisk,Motorfeil,"Motor, ujevn gange",Går ujevnt ,Lav spenning til fødepumpe. Sjekket sikring F55 og F56. Sjekket batteri og lading. Gjorde rent og pusset.,,F283 og E211,,,,
Traktor,John Deere,6120M,2022,Miljøsystemer,Varsellampe / feilkode,"Varsellampe, feilkode",Feilkode,Adblue pumpe fryst. Måtte bytte.,,522495.09 og 5743.09,,,,
Traktor,John Deere,5090M,2013,Elektroniske styresystemer,Lyd,"Lyd, annet","Kom 2 pip, så ett og så 2 igjen. La merke til at jeg akkurat hadde rundet 1000 timer.","Det er servicevarsel.
For å nulle, sett håndgass på 1500rpm og la den stå. Start og stopp traktoren 5 ganger.
Lampetest må gå seg ferdig hver gang.",Kom pipelyd 2-1-2,,,false,true,
Traktor,John Deere,6430,,Hydraulisk,Hydraulikkfeil,"Hydraulikk, ventilfeil",Tipputtak fungerte ikke,Defekt tipputak.,,523819.09,,,false,
Traktor,John Deere,6220,2002,Frontlaster,Hydraulikkfeil,"Hydraulikk, virker ikke",Laster gikk ikke. Har lasterspaken med sikkerhetsklaff på siden.,Mikrobryter i sikkerhetsklaff var defekt.,Laster gikk ikke,,,,true,https://www.facebook.com/share/v/1CPrfX61Jx/?
Traktor,John Deere,6830,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",Declutch function not available feilmelding,"Slå på tenningen, Gå til infomeny.  Under ruten I; marker diagnosesenter. Trykk V og vent. Trykk V i minst 4 sek, slipp og trykk V i minst 4 sek,"". Marker denne. Så trykker du på ""V"" Vent mens siden laster. tryk V i minst 4 sekunder slipp og trykk  V minst 4 sekunder til. 
Du er nå logget inn som tekniker.
Linje 167 og 168 skal være 1.",,523677.14,,,,
Traktor,John Deere,6230,,Drivstoffsystem,Motorfeil,"Motor, feil trykk",Traktor gikk svært dårlig. Gikk bedre når returslange til tank ble klemt.,"Skiftet SCV-ventil på pumpa.
Del JH RE560091 hos økonomideler.",Nødmodus,,,,true,https://www.okonomi-deler.no/reservedeler/traktordeler/john-deere/jd-6330/kontrollventil-3
Traktor,Case,Maxxum 110,,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode",Bilde av tannhjul og feilkode,Clutch pedal switch set too high,,2047,,,,
Traktor,Case,Maxxum 140,2023,Elektrisk,Varsellampe / feilkode,"Varsellampe, feilkode",Stoppet.,"Flywheel Speed Sensor. Sensor bad working. Sjekk kontakt, ledning og sensor.",,2078,,,,
Traktor,Case,Puma cvx ,,Bremser,Varsellampe / feilkode,"Varsellampe, feilkode",Ingen feil annet enn kode,Strammet parkbrems-wire,,12188,,,,
Traktor,Case,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",Feilkode på case,Generell guide og oppslagsverk linket under!,Feilkode oppslagsverk ,,,,,https://equipmentontario.com/Fault-Codes-Diagnostics-Tool/
Skurtresker,Claas,Avero 240,2010,Skjærebord,Bevegelse/rotasjons-feil,Annet,"Plutselig heves skjærebord på ene siden, følger ikke lenger bakken. Kan komme både med og uten feilkode.","Sjekk at nivå- stag / bøyler går fritt, det hender de henger seg opp. Sjekk at nivå føler følger bevegelsen i stag / bøyle, det hender mutter faller av så de løsner.
Om feilkode og ingen av løsningene over; Koble fra og rengjør kontakter til nivåfølere, plugg de fra og til noen ganger. Ofte er det dårlig kontakt som er feilen.",Autocontour hever skjærebord på ene siden,,,true,true,
Bil,Volvo,240 Turbo,1987,Motor,Motorfeil,"Motor, annet",Ved pådrag og økende turbotrykk kuttet brått effekten og turtall falt. Gjentok seg gang på gang når man akselererte.,Den originale slangen mellom turbo og luftfilter var for myk og sugde seg sammen når turbotrykket økte. Satte inn et rør i stedet.,"Motor, kuttet ved pådrag",,true,,true,
Traktor,Valtra,N141 H,2011,Elektrisk,Girfeil,"Gir, hopper ut",Traktor går av og til i fri ved at den mister retning fram/bak. Retningspil bare blinker.,Overkoblet setebryter frem til jeg fikk tak i en ny.,,,,true,false,
Bil,Volkswagen,Golf,2007,Elektrisk,Elektrisk feil,"Elektrisk, manglende belysning","Mistet lys i venstre hovedlykt hyppig. Skiftet pære flere ganger, varte kun kort tid.","Viste seg å være dårlig kontakt i den andre kontakten på lykta, til et kretskort. Gjorde rent denne. Ingen av pærene har faktisk gått.",,,true,,,
Traktor,Massey Ferguson,5450,2010,Elektrisk,Girfeil,"Gir, får ikke i gir",Girtall blinket 2 + 4 ganger,Måtte skifte følere for girposisjon,,24,,,false,https://www.okonomi-deler.no/reservedeler/traktordeler/mf-1080-8000/mf-5450/posisjonsfoler-mg-3796579-org
Bil,Suzuki,Vitara ,2016,Elektrisk,Motorfeil,"Motor, starter ikke","Ingen feilkode. Trykket på startknapp, kun et klikk hørtes. Batterispenning var ok.",Startmotor var defekt.,Gikk ikke rundt på starter,,,,true,
Traktor,New Holland,T5 120,2017,Elektrisk,Girfeil,"Gir, får ikke i gir",Fri knapp på vendegirspak fungerte ikke.,Ledningsbrudd i spaken. Demonterte spak og loddet inn ny ledning. Kjent problem på disse.,Får ikke i fri,,,,true,
Traktor,New Holland,T6,2019,Miljøsystemer,Motorfeil,"Motor, høyt forbruk",Unormalt høyt forbruk av motorolje.,Åndingsfilter var tett. Skiftet. Forbruk normalt.,Høyt oljeforbruk,,,,true,
Traktor,New Holland,T5 120,2014,Kjøling,Klima-feil,"Klima, ingen kjøling",Mistet plutselig kjøling.,Skiftet elektrisk ventil / kran på venstre side av hytta foran.,,,,,,
Traktor,Fendt,724,2015,Miljøsystemer,Varsellampe / feilkode,"Varsellampe, feilkode","Feilkode.  A084 AdBlue module General module fault Pressure too low, Return valve fault, Limit exceeded or not reached Current value too low, Broken wire or short circuit.",Adblue-pumpe fryst. Skiftet ok.,,1D.1.12,true,,,
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,B084 hydraulikkoljenivå-sensor – Signalfel – Sensorfeil,Fendt feilkode,00.1.55,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,A128 kontrollpanel (høyre/venstre dashbord) – Enter-knapp holdt >30s eller sluppet – Ikke operativ,Fendt feilkode,00.1.75,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,A128 kontrollpanel (høyre/venstre dashbord) – ESC-knapp holdt >30s eller sluppet – Ikke operativ,Fendt feilkode,00.1.76,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,A128 kontrollpanel (høyre/venstre dashbord) – Ned-knapp holdt >30s eller sluppet – Ikke operativ,Fendt feilkode,00.1.78,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,A128 kontrollpanel (høyre/venstre dashbord) – Opp-knapp holdt >30s eller sluppet – Ikke operativ,Fendt feilkode,00.1.77,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,B060 trykkluftsensor (krets 1) – Vakuumfeil inntil neste kaldstart – 4WD koblet inn,Fendt feilkode,00.1.A8,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,B017 cluthpedal sensor signalfeil. Ingen cruise control funksjon.,Fendt feilkode,04.1.04,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,B055 fotgass sensor signalfeil.,Fendt feilkode,04.1.06,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"A100 armlene signalfeil, EEPROM checksum er feil eller ikke kalibrert gasspedal potensiometer",Fendt feilkode,04.1.20,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"A100 armlene feilaktig joystick-signal ""Tempomat cruise control ON""",Fendt feilkode,04.1.23,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"S080 håndbrems signalfeil, feil på tilbakemeldingsbryter",Fendt feilkode,04.1.24,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Hydraulikk,"Hydraulikk, ventilfeil","X står for ventilnummer, Y for feilbeskjed. Eksempel 0A.1.10 = Ventil 1 - CAN feil / kommunikasjonsfeil","Y kan være siffer 1-F (hex). 0 = CAN-feil / 1 = minnefeil (EEPROM) / 2 = Underspenning (<8V) / 3 = Overspenning (>18V) / 4 = Ventilbevegelse stopper, f.eks kald olje eller trykkfall. / 5 = Høy overspenning (>45V) / 6 = Endeposisjonsfeil i pilotventil. / 7 = Posisjonsgiver feil. / 8 = Ventil går ikke tilbake til nøytral (uren olje, slitasje etc.) / 9 = Ventil ikke i nøytral når den aktiveres (uren olje, slitasje etc.) / A = Ventilposisjon utenfor område. / B = Flytposisjon ikke nådd. / C = Manuell aktivering. / D = Pilotkontroll-aktuator sitter fast. / E = RAM eller FLASH-minne feil. / F = Potensiometerfeil, feil på signal (settpunktmelding eller konfigurasjon).",Fendt feilkode,0A.1.XY,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"B055 fotgass-sensor, feil kalibrert eller feil på signal",Fendt feilkode,04.1.EC og 1D.2.06,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"B017 clutchpedal-sensor, feil kalibrert eller feil på signal",Fendt feilkode,04.1.ED,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"B009 temperatursensor, transmisjonsolje >95°c",Fendt feilkode,04.2.51,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"B009 temperatursensor, transmisjonsolje >105°c",Fendt feilkode,04.2.52,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"A050 ECU A100, armlene, feil på CAN kommunikasjon mellom e-box og joystick",Fendt feilkode,04.1.94,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"B017 cluchpedal-sensor S074, endebryter-feil, sannsynlighetsfeil på elektrisk clutchpedal",Fendt feilkode,04.1.8A,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",,"A100 armlene, feil på joystick",Fendt feilkode,04.1.84,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
Traktor,Fendt,,,Miljøsystemer,Motorfeil,"Motor, dårlig effekt",,"B102 Adblue temperatursensor, kan være lavt nivå",Fendt feilkode,1D.0.40,,,,https://www.truck-freeworkshop.com/fendt/fendt-ft-fault-codes/?fbclid=IwdGRjcAMkGqFleHRuA2FlbQIxMQABHmQy7KmcDi3ax-FNiax9sD6dkpae1-ENS7kT8nQ5wRc0AFbl3QPqOHXFo7E6_aem_DrkptwPBVhJn8ViqQ-zjnQ
